DATE (MM/DD/YYYY),KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,AVG Air Temperature [deg F],MAX Air Temperature [deg F],MIN Air Temperature [deg F],AVG Rel Humidity [%],MAX Rel Humidity [%],MIN Rel Humidity [%],AVG Avg Wind Speed @ 3m [MPH],MAX Avg Wind Speed @ 3m [MPH],MIN Avg Wind Speed @ 3m [MPH],AVG Peak Wind Speed @ 3m [MPH],MAX Peak Wind Speed @ 3m [MPH],MIN Peak Wind Speed @ 3m [MPH],AVG Station Pressure [inHg],MAX Station Pressure [inHg],MIN Station Pressure [inHg]
2024-06-24,444280.67,37606.41,205831.74,80.8,4066.73,743.28,126937,31734347,12128,206823,51692583,19760,6766,1690994,646,340526,85117923,1689306,220.82,2,88.8715,101.498,80.888,41.6038,60.58,21.87,4.4971,22.6154,0.0,7.0191,25.6129,0.0,27.299,27.3394,27.238
2024-06-25,387783.65,26257.37,203266.05,81.78,3844.15,702.59,110795,27698843,10585,204245,51048237,19514,6848,1711533,654,321888,80458613,1663357,196.315,3,88.7356,102.182,75.2,42.8854,74.07,22.53,5.5529,43.4189,0.0,8.2708,50.7785,0.0,27.2998,27.3307,27.25
2024-06-26,343500.6,38357.0,207651.48,86.43,3750.32,685.43,98143,24535767,9377,208651,52149593,19935,7237,1808771,691,314031,78494131,1694190,165.736,4,92.4912,102.092,80.96,34.5243,57.73,20.51,7.9172,21.9891,0.0,11.3334,28.9683,0.0,27.2938,27.3441,27.2318
2024-06-27,344958.75,37918.48,207225.22,83.67,3747.42,684.9,98560,24639921,9416,208223,52042542,19894,7006,1750989,669,313788,78433451,1690920,166.719,5,94.4276,104.126,83.732,28.8512,50.29,18.09,7.5119,29.192,0.0,10.646,35.6791,0.0,27.2307,27.2868,27.1525
2024-06-28,313459.8,34691.51,189169.1,80.55,3420.15,625.09,89560,22389995,8557,190080,47507928,18160,6745,1685783,644,286385,71583705,1543447,151.374,6,88.0278,102.524,75.956,41.1866,74.18,20.31,6.0881,44.3137,0.0,9.944,57.4893,0.0,27.2418,27.2967,27.185
2024-06-29,338270.7,35793.13,207698.88,85.26,3731.87,682.06,96649,24162203,9234,208699,52161496,19939,7139,1784368,682,312487,78108067,1694067,164.248,7,87.7427,98.258,77.954,42.1736,62.61,24.05,6.2408,19.6403,0.0,9.106,25.6129,0.0,27.2825,27.3341,27.2385
2024-06-30,328606.2,33471.38,225175.7,85.3,3908.66,714.37,93887,23471881,8970,226260,56550624,21617,7142,1785120,682,327290,81807624,1832953,160.259,1,87.6136,101.606,79.052,39.5162,54.39,21.34,5.049,15.6586,0.0,9.4573,35.6791,0.0,27.3296,27.3713,27.2758
2024-07-01,357265.76714285713,34870.75428571429,206574.02428571432,83.39857142857143,3781.328571428571,691.1028571428571,82366,20591409,9608,97773,24437054,9341,6745,1685783,662,191040,47753122,807120,175.0672857142857,1,89.70142857142856,101.75514285714284,79.106,38.6773,61.97857142857142,21.24285714285714,6.122428571428571,28.118285714285715,0.0,,,,27.282457142857144,27.329014285714287,27.224514285714285
2024-07-02,357265.76714285713,34870.75428571429,206574.02428571432,83.39857142857143,3781.328571428571,691.1028571428571,82366,20591409,9608,97773,24437054,9341,6745,1685783,662,191040,47753122,807120,175.0672857142857,1,89.70142857142856,101.75514285714284,79.106,38.6773,61.97857142857142,21.24285714285714,6.122428571428571,28.118285714285715,0.0,,,,27.282457142857144,27.329014285714287,27.224514285714285
2024-07-03,357265.76714285713,34870.75428571429,206574.02428571432,83.39857142857143,3781.328571428571,691.1028571428571,82366,20591409,9608,97773,24437054,9341,6745,1685783,662,191040,47753122,807120,175.0672857142857,1,89.70142857142856,101.75514285714284,79.106,38.6773,61.97857142857142,21.24285714285714,6.122428571428571,28.118285714285715,0.0,,,,27.282457142857144,27.329014285714287,27.224514285714285
